City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,73.4,moderate rain,-21.2,-175.2,Keleti Beach Resort
7,Coquimbo,CL,68.0,few clouds,-29.9533,-71.3436,Punto de encuentro
10,Rikitea,PF,79.86,clear sky,-23.1203,-134.9692,Pension Maro'i
11,Pisco,PE,81.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
13,Cape Town,ZA,70.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Hithadhoo,MV,83.16,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Port Alfred,ZA,65.59,overcast clouds,-33.5906,26.891,The Halyards Hotel
19,Geraldton,AU,69.8,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
20,Chuy,UY,72.77,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
22,Busselton,AU,66.0,broken clouds,-33.65,115.3333,Observatory Guest House
27,Omboue,GA,79.77,broken clouds,-1.5746,9.2618,Hotel Olako
28,Castro,BR,76.14,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
30,Bengkulu,ID,76.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
33,Alta Floresta,BR,84.6,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
35,Hualmay,PE,78.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
36,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Hoi An,VN,78.8,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
41,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
42,Santa Maria,BR,77.0,broken clouds,-29.6842,-53.8069,Hotel Morotin
43,Atuona,PF,80.35,light rain,-9.8,-139.0333,Villa Enata
46,Acarau,BR,83.41,overcast clouds,-2.8856,-40.12,castelo pizzaria
48,Ambilobe,MG,76.15,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
