City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,-12.03,97,100,8.9,overcast clouds
1,Vaini,TO,-21.2,-175.2,73.4,100,75,10.36,moderate rain
2,Kamaishi,JP,39.2667,141.8833,45.86,84,100,5.66,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,33.8,75,75,9.22,broken clouds
4,Yellowknife,CA,62.456,-114.3525,-2.0,59,40,12.66,snow
5,Saint George,US,37.1041,-113.5841,57.0,43,1,4.61,clear sky
6,Barrow,US,71.2906,-156.7887,-14.8,76,40,10.36,scattered clouds
7,Coquimbo,CL,-29.9533,-71.3436,68.0,64,20,17.27,few clouds
8,Nyurba,RU,63.2842,118.3319,-23.46,96,63,6.46,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,59.0,51,75,19.57,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,79.86,74,10,9.48,clear sky
11,Pisco,PE,-13.7,-76.2167,81.0,53,0,13.8,clear sky
12,Ushuaia,AR,-54.8,-68.3,55.4,58,40,21.85,scattered clouds
13,Cape Town,ZA,-33.9258,18.4232,70.0,60,0,20.71,clear sky
14,Hithadhoo,MV,-0.6,73.0833,83.16,74,100,8.81,overcast clouds
15,Pangnirtung,CA,66.1451,-65.7125,-14.8,76,75,2.3,broken clouds
16,Camacha,PT,33.0833,-16.3333,60.8,55,75,6.91,broken clouds
17,Kargasok,RU,59.0556,80.8572,21.96,90,95,10.96,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,65.59,70,92,12.21,overcast clouds
19,Geraldton,AU,-28.7667,114.6,69.8,88,40,5.75,scattered clouds
20,Chuy,UY,-33.6971,-53.4616,72.77,73,86,14.29,overcast clouds
21,Visnes,NO,59.3556,5.2242,41.0,81,75,4.61,broken clouds
22,Busselton,AU,-33.65,115.3333,66.0,93,79,3.0,broken clouds
23,Husavik,IS,66.0449,-17.3389,46.4,53,40,27.63,scattered clouds
24,Jamestown,US,42.097,-79.2353,57.2,17,1,7.25,clear sky
25,Guerrero Negro,MX,27.9769,-114.0611,63.73,55,95,19.93,overcast clouds
26,Kielce,PL,50.8703,20.6275,33.01,1,100,9.82,overcast clouds
27,Omboue,GA,-1.5746,9.2618,79.77,84,81,6.4,broken clouds
28,Castro,BR,-24.7911,-50.0119,76.14,81,82,5.12,moderate rain
29,Kodiak,US,57.79,-152.4072,32.0,86,90,6.11,overcast clouds
30,Bengkulu,ID,-3.8004,102.2655,76.57,89,100,6.53,overcast clouds
31,Albany,US,42.6001,-73.9662,62.01,15,5,2.13,clear sky
32,Fortuna,US,40.5982,-124.1573,52.0,71,90,12.66,overcast clouds
33,Alta Floresta,BR,-9.8756,-56.0861,84.6,76,60,1.9,broken clouds
34,Mataura,NZ,-46.1927,168.8643,53.01,94,100,3.0,light rain
35,Hualmay,PE,-11.0964,-77.6139,78.15,65,40,9.55,scattered clouds
36,Mahebourg,MU,-20.4081,57.7,78.8,89,75,10.36,light rain
37,Torbay,CA,47.6666,-52.7314,37.0,55,20,18.41,light rain
