City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,San Quintin,MX,2021-03-19 22:00:34,30.4833,-115.95,66.45,55,0,15.95
1,Awbari,LY,2021-03-19 22:02:58,26.5921,12.7805,66.47,19,0,8.95
2,Nova Olimpia,BR,2021-03-19 22:02:58,-14.7972,-57.2881,73.36,92,100,4.81
3,Ushuaia,AR,2021-03-19 21:54:36,-54.8,-68.3,50.0,66,75,10.36
4,Mataura,NZ,2021-03-19 21:52:21,-46.1927,168.8643,55.0,85,98,5.99
5,Karasjok,NO,2021-03-19 22:02:58,69.4719,25.5112,37.4,75,20,6.91
6,Vaini,TO,2021-03-19 21:57:11,-21.2,-175.2,84.2,79,40,8.05
7,Fort Nelson,CA,2021-03-19 21:56:22,58.8053,-122.7002,33.8,51,75,12.66
8,Yankton,US,2021-03-19 22:02:59,42.8711,-97.3973,55.4,33,1,19.57
9,Puerto Ayora,EC,2021-03-19 21:54:39,-0.7393,-90.3518,84.2,74,40,9.22
10,Arraial Do Cabo,BR,2021-03-19 21:58:05,-22.9661,-42.0278,80.6,69,20,12.66
11,Port Elizabeth,ZA,2021-03-19 21:54:41,-33.918,25.5701,68.0,68,90,6.91
12,Bambanglipuro,ID,2021-03-19 21:56:45,-7.95,110.2833,76.35,87,100,5.5
13,Vestmannaeyjar,IS,2021-03-19 21:57:58,63.4427,-20.2734,42.39,82,100,22.55
14,Atuona,PF,2021-03-19 21:57:15,-9.8,-139.0333,80.01,75,6,12.35
15,Cabo San Lucas,MX,2021-03-19 21:52:41,22.8909,-109.9124,80.6,27,1,4.7
16,Hofn,IS,2021-03-19 21:57:25,64.2539,-15.2082,45.01,88,44,17.76
17,Albany,US,2021-03-19 21:52:33,42.6001,-73.9662,39.99,22,0,6.15
18,Ekhabi,RU,2021-03-19 22:02:59,53.5102,142.9671,8.98,90,8,8.99
19,Payo,ID,2021-03-19 22:02:59,-3.7508,103.6372,72.48,98,100,1.39
20,Hobart,AU,2021-03-19 21:52:54,-42.8794,147.3294,55.99,87,75,5.75
21,Rikitea,PF,2021-03-19 21:54:38,-23.1203,-134.9692,80.83,76,94,13.94
22,Kirakira,SB,2021-03-19 21:57:22,-10.4544,161.9205,84.54,72,44,5.73
23,Sioux Lookout,CA,2021-03-19 21:57:38,50.1001,-91.917,51.8,28,40,14.97
24,Katsuura,JP,2021-03-19 21:57:57,35.1333,140.3,53.6,71,75,11.5
25,Provideniya,RU,2021-03-19 21:54:47,64.3833,-173.3,-5.76,91,94,17.05
26,Yellowknife,CA,2021-03-19 21:54:55,62.456,-114.3525,32.0,51,75,14.97
27,Souillac,MU,2021-03-19 22:03:00,-20.5167,57.5167,78.8,78,40,13.8
28,Cape Town,ZA,2021-03-19 21:54:57,-33.9258,18.4232,66.99,63,20,18.41
29,Umm Kaddadah,SD,2021-03-19 21:57:51,13.6017,26.6876,83.41,15,36,18.92
30,Ahipara,NZ,2021-03-19 21:55:59,-35.1667,173.1667,66.34,56,6,8.12
31,Cockburn Town,TC,2021-03-19 22:03:00,21.4612,-71.1419,78.8,69,40,10.36
32,Haines Junction,CA,2021-03-19 22:03:00,60.7522,-137.5108,14.0,44,100,16.11
33,Udachnyy,RU,2021-03-19 22:03:01,66.4167,112.4,-5.66,98,100,9.64
34,Plotnikovo,RU,2021-03-19 22:03:01,55.0247,85.9436,15.8,79,0,6.71
35,Hilo,US,2021-03-19 21:55:14,19.7297,-155.09,75.2,57,90,10.36
36,Ilulissat,GL,2021-03-19 21:56:26,69.2167,-51.1,21.2,53,75,24.16
37,Saint George,US,2021-03-19 21:57:28,37.1041,-113.5841,75.0,28,1,3.44
38,Chokurdakh,RU,2021-03-19 21:55:50,70.6333,147.9167,-14.53,92,100,10.89
39,Georgetown,MY,2021-03-19 21:57:14,5.4112,100.3354,78.8,65,20,3.44
40,Qaanaaq,GL,2021-03-19 21:55:35,77.484,-69.3632,-6.21,89,100,1.57
41,Te Anau,NZ,2021-03-19 22:03:01,-45.4167,167.7167,53.38,73,91,0.38
42,Saskylakh,RU,2021-03-19 21:57:10,71.9167,114.0833,-34.73,99,24,4.05
43,Camana,PE,2021-03-19 21:57:23,-16.6228,-72.7111,73.26,73,22,8.03
44,Taltal,CL,2021-03-19 21:53:10,-25.4,-70.4833,66.38,76,24,3.76
45,Upernavik,GL,2021-03-19 21:56:01,72.7868,-56.1549,8.19,92,100,3.98
46,Honiara,SB,2021-03-19 22:03:02,-9.4333,159.95,84.06,69,10,1.97
47,Tiksi,RU,2021-03-19 21:57:09,71.6872,128.8694,-21.32,94,100,9.53
48,Mezen,RU,2021-03-19 22:03:02,65.8522,44.24,-4.68,93,0,2.77
49,New Norfolk,AU,2021-03-19 21:55:05,-42.7826,147.0587,55.0,73,54,1.77
50,Abeche,TD,2021-03-19 22:03:02,13.8292,20.8324,87.3,11,59,16.78
51,Mehamn,NO,2021-03-19 22:03:02,71.0357,27.8492,37.4,81,75,13.8
52,Karratha,AU,2021-03-19 21:58:27,-20.7377,116.8463,74.35,64,0,17.18
53,Butaritari,KI,2021-03-19 21:57:05,3.0707,172.7902,81.75,78,28,14.43
54,Caravelas,BR,2021-03-19 22:03:03,-17.7125,-39.2481,77.56,79,82,5.73
55,Aklavik,CA,2021-03-19 21:58:08,68.2191,-135.0107,-4.0,65,40,8.05
56,Wilmington,US,2021-03-19 22:01:27,34.2257,-77.9447,46.0,70,90,16.11
57,Carnarvon,AU,2021-03-19 21:57:41,-24.8667,113.6333,68.0,68,0,8.05
58,Candolim,IN,2021-03-19 22:03:03,15.5181,73.7626,78.13,53,0,14.07
